Ministerium/Behörde,Gegenstand,Aktenzeichen Gericht,interne Aktenzeichen,Datum Verhandlung
BMAS,Antrag abgelehnt (Informationen müssen nicht beschafft werden). Am 23.9.2016 Widerspruch eingelegt,,,
BMI,Konkretheit Auskunftsbegehren,VG Berlín VG 2 K 212/13,214-13002/7#8,
BMI,Deutsche Eisschnelllaufgesellschaft,BVerwG 7 C 30.15,214-13002/7#6,
BMI,Kostenfestsetzung,BVerwG 7C 6.15,214-1 3002/7#9,
BMI,Wíderspruchsgebühr 30 €,VG Berlín 2 K 42.15,214-1 3002/7# 15,
BMI,Verpflichtung zur Erörterung von IFG-Fragen,VG Berlín VG 2 K 85.14,214-13002/7#16,
BMI,Wíderspruchsgebühr €,VG Berlín 2 K 550.15,214-13002/7#18,
BMI,Zugang zu Notízen der Ausländerreferentenbesprechung,VG Berlín VG 2 K 82.16,214-13002/7#20,
BMZ,IFG-Auskunftserteilung,VG Köln 13 K 6862/16,,
BMVI,"Kosten 200€, zurückgezogen",,,
BMWi,"Kosten 60 €, zurückgezogen",,,
BMJV,VG München,Disziplinarverfügung,,
BMJV,VG Karlsruhe,Aufhebung von Stellungnahmen des Prasídíalrats eínes,,
BMJV,obersten Bundesgeríchts,1 K 2198/14,,
BMJV,VG Stuttgart 7 K 819/15,Auswahlentscheídung hinsichtlich einer Stelle als Richter/in,,
BMJV,"VG Berlín 2 K 534.15, BVerwG 7 C 21.16",IFG-Antrag,,
BMJV,VG Berlín 33 K 3.16,Überprüfung der Entscheídungen des Bundesverfassungsgerichts durch das BMJV,,
BMJV,VG Karlsruhe 1 K 666/16,Auswahlentscheidung hinsichtlich einer Stelle als Vorsitlzende/r Richter/ín,,
BMJV,VG München M 21 E 16.1424,Auswahlentscheidung hínsichtlich der Stelle einer Leiterin / eines Leiters einer Abteilung einer Geschaftsbereichsbefl.,,
BMJV,VG Berlin 2 K 257.16,IFG-Antrag,,
BMJV,VG Berlin 2 K 275.16,IFG-Antrag,,
BMJV,VG Hamburg 2 K 3189/16 und 2 E 3190/16,Begehren der Einleítung eines Díenstaufsíchtsverfahrens gegen einen Vorsítzenden Ríchter,,
Bundestag,Petitionsstreitsache,"VG Berlin VG 2 K 39.14. 
OVG 3 B 11.15",1306-14-067,
Bundestag,"Klage. wegen Informationszugangs nach
IFG (Einsicht in Petitionsakte)","VG Berlin VG 2 K 62.14
OVG 12 N 77.15",1305-14-1&3,
Bundestag,"Klage. wegen Informationszugangs nach
IFG (Einsicht in Petitionsakte)","VG Berlin VG 2 K511.15
OVG 12 11.1 54.15
(Beschwerdeverfahren)",1305-15-191,
Bundestag,Klage auf Entlassung der Bundesverteidigungsministerin u.a.,VG Berlin VG 33 K 270.15,1305-15-230,
Bundestag,Klage betreffend Entschädigung und Versorgung der Abgeordneten (Beihilfen),VG Berlin VG 5 K 382.15,1305-15-289,
Bundestag,Untätigkeitsklage auf Zugang nach IFG (Parlamentwatch e.V.),VG Berlin VG 2 K 52.16,1305-16-073,
Bundestag,"Untätigkeitsklage, Zugang zu Gutachten (MR: nach Auskunft der Bundestagsverwaltung handelt es sich um ein Gutachten zur Gülen-Bewegung https://sehrgutachten.de/bt/wd1/072-08-die-fethullah-guelen-bewegung-in-deutschland )",VG Berlin VG 2 K70.16 (inzw. rechtskräftig beendet,1305-16-079,
Bundestag,Klage auf Zugang nach IFG (Informationen Parteiengesetz / Parlamentwatch e.V.),VG Berlin VG 2 K69.16,1305.-16-080,
Bundestag,Petitionsstreitsache,"derzeit SG Berlin:
S.74 SV 14/16",1306-16-084,
Bundestag,Einblick in Petitionsakte,VG Berlin VG 2 K76.16,1305-16-090,
Bundestag,Zugang zu Prüfberichten der Innenrevision der Bundestagsverwaltung,"VG Berlin VG2 K 19.13
OVG 95 A 1.14",1305-2011-0007,
Bundestag,Petitionsstreitsache,"VG Berlin VG2 K 6.12
OVG 3 B 9.14
BVerwG 6 PKH 2.16",1305-2012-0002,
Bundestag,Petitionsstreitsache,"VG Berlin VG 2 K271.13
OVG 3 N 16.16",1305-2013-0006,
Bundestag,Parteienfinanzierung (Rentnerpartei),VG Berlin VG 2 K622.15,5040-15-298,
Bundestag,Parteienfinanzierung (NPD),VG Berlin VG 2 K64.16,5040-16-071,
Bundestag,Parteienfinanzierung (NPD),VG Berlin VG 2 K65.16,5040-16-072,
Bundestag,Parteienfinanzierung (FDP),"VG Berlin VG 2 K126.9
OVG 3 B 16.13
BVerwG & C 5.15",5040-2009-0004,
Bundestag,Parteienfinanzierung (NPD),"VG Berlin VG 2 K108.10
OVG 3 B 10.13",5040-2010-0002,
BMUB,Abberufung einer Sachverständigen,VG Karlsruhe 3 K 3239/15,,
BMUB,Atom- und Strahlenschutzrecht,VG Düsseldorf 7 K 6532/16,,
BMUB,Zugang zu Beratungsunterlagen,OVG Münster 8 A 483/16,,
BMUB,Herausgabe von Umweltinformationen,OVG Münster 8 A 2024/13,,
BMUB,Aufhebung der Gorleben-Veränderungssperren-VO,OVG Lüneburg 7 LC 80/15 u. 7 LC 81/15,,
BMUB,Umtausch/Ausgabeberechtigung von Feinstaubplaketten,OVG Berlin-BBG 11 N 59.16,,
BMVg,einmalige Entschädigung § 63 e SVG,VG Gelsenkirchen 1 K 3049/14,,
BMVg,einmalige Entschädigung § 63 e SVG,Bayerisches VG AN 11 K14.01200,,
BMVg,einmalige Entschädigung § 63 a SVG,OVG NRW 1 A 2359/14,,
BMVg,einmalige Entschädigung § 63 e SVG,VG Cottbus VG 5 K 34/16,,
BMVg,Wahlanfechtung Hauptpersonalrat,VG Köln 33 L 4924/16,,
BMVg,Stufenfestsetzung (Prof),VG München M 21 K 14.2572,,
BMVg,Beurteilung,VG Berlin 7 K 393.14,,
BMVg,Wechsel der Besoldungsgruppe,VG Karlsruhe 4 K 32/15,,
BMVg,Beurteilung,Bayerisches VG M 21 K 15.260,,
BMVg,Urlaubsübertragung,VG Köln 15 K 1574/15,,
BMVg,Beurteilung,VG Köln 15 K 2423/15,,
BMVg,Hinausschieben des Ruhestandes,VG Hamburg 21 K 3015/15,,
BMVg,Beurteilung,VG Köln 15 K 3686/15,,
BMVg,Beurteilung,VG Köln 15 K 5191/15,,
BMVg,Beurteilung,VG Köln 15 K 5262/15,,
BMVg,Beurteilung,VG Münster 5 K 2040/15,,
BMVg,Beurteilung,VG Berlin VG 28 K 416.15,,
BMVg,Beurteilung,VG Köln 15 K 7122/15,,
BMVg,Beurteilung,VG München M 21 K 16.2457,,
BMVg,Normenkontrolle,OVG Magdeburg 2 K 294/00,,
BMVg,Normenkontrolle,OVG Magdeburg 2 K 85/00,,
BMVg,Normenkontrolle,OVG Berlin-Brandenburg 11 A 8.05,,
BMVg,Normenkontrolle,OVG Berlin-Brandenburg 11 A 9.05,,
BMVg,Zuständigkeit für abwehrenden Brandschutz,VG München M 7 E 16.1534,,
